id;slug;name;lat;lon;seo_title;seo_desc;h1_headline;spot_description;best_wind;danger_info
32;fehmarn-presen;Fehmarn - Presen;54.4789;11.2144;Kitespot Presen Fehmarn: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für den Kitespot Presen an Fehmarns Ostküste. Idealer Spot bei Ostwind.;Kitesurfen in Presen (Fehmarn Ostküste);Presen ist der Geheimtipp auf Fehmarn, wenn der Wind auf Nordost oder Ost dreht – Richtungen, bei denen die meisten anderen Spots auf der Insel ablandig sind. Hier weht der Wind dann frei und onshore über die Ostsee. Der Spot bietet eine kleine Wiese am Deich und einen schmalen Naturstrand.;Perfekt bei Wind aus Nordost, Ost und Südost. Bei Westwind komplett ablandig und unbrauchbar.;Der Einstiegsbereich und das Wasser sind sehr steinig, daher sind Neoprenschuhe (Booties) hier dringend empfohlen. Kein echtes Stehrevier, das Wasser wird schnell tief.
33;ruegen-suhrendorf;Rügen - Suhrendorf (Ummanz);54.4608;13.1492;Kitespot Suhrendorf Rügen: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Suhrendorf auf Ummanz (Rügen). Das größte Stehrevier Deutschlands für Kiter.;Kitesurfen in Suhrendorf (Ummanz / Rügen);Suhrendorf auf der Rügen-Nachbarinsel Ummanz beherbergt das größte Stehrevier Deutschlands. Der Schaproder Bodden ist hier kilometerweit stehtief und bietet spiegelglattes Flachwasser. Perfekt für Anfänger, Freestyler und Foiler, die eine riesige Spielwiese suchen.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Bei Ostwind steht der Wind ablandig, bleibt aber durch das flache Wasser im Stehbereich kontrollierbar.;Der Einstieg erfolgt über den lokalen Campingplatz (Zufahrt/Parken gebührenpflichtig). Im Hochsommer kann es im Stehbereich voll werden. Achte auf die Fahrrinnen der Fähren außerhalb des Stehreviers.
34;ruegen-wieker-bodden;Rügen - Wieker Bodden;54.6122;13.2842;Kitespot Wieker Bodden Rügen: ICON-D2 Windreport;ICON-D2 Windreport für den Wieker Bodden auf Rügen. Großes Flachwasserrevier mit hervorragendem Stehbereich.;Kitesurfen am Wieker Bodden (Rügen);Der Wieker Bodden im Nordwesten von Rügen ist ein erstklassiges Flachwasser- und Stehrevier. Der Spot in Wiek bietet eine breite Graswiese zum Aufbauen und einen komfortablen, stehtiefen Einstieg. Die Bedingungen sind extrem sicher, weshalb hier auch viele Schulungen stattfinden.;Optimal bei Wind aus Südwest, West und Nordwest. Nordwind kommt leicht böig über Land, ist aber fahrbar.;Der Untergrund ist teilweise mit Muscheln besetzt – Anfängern wird das Tragen von Schuhen empfohlen. Halte ausreichend Abstand zum Hafenbereich von Wiek und den dortigen Bootsstegen.
35;ruegen-thiessow;Rügen - Thiessow;54.2783;13.7144;Kitespot Thiessow Rügen: ICON-D2 Wind & Spotguide;Präzise ICON-D2 Windvorhersage für Thiessow auf Rügen. Das geniale Kombi-Revier für Welle und Flachwasser.;Kitesurfen am Spot Thiessow (Rügen);Thiessow liegt auf der Halbinsel Mönchgut im Südosten Rügens und bietet ein echtes Doppelrevier: Auf der Ostseite wartet die offene Ostsee mit toller Brandungswelle, auf der Westseite (Zicker See / Bodden) gibt es spiegelglattes Flachwasser. Perfekt für jede Könnensstufe und Windrichtung.;Sehr flexibel: Die Ostseite läuft super bei NO, O und SO. Die Boddeninsel (Westseite) funktioniert bei SW, W und NW.;Auf der Ostsee-Seite muss im Sommer auf den Badebetrieb geachtet werden. Die Bodden-Seite grenzt direkt an den Nationalpark – die ausgewiesenen Befahrensverbote und Schutzzonen sind strikt einzuhalten.
36;ruegen-rosengarten;Rügen - Rosengarten;54.2981;13.4117;Kitespot Rosengarten Rügen: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für den Kitespot Rosengarten im Süden Rügens. Flachwasser-Geheimtipp am Strelasund.;Kitesurfen am Rosengarten (Rügen);Der Spot Rosengarten liegt an der Südküste Rügens am Rügischen Bodden. Es ist ein eher naturbelassener Spot mit einer ausgedehnten Kitewiese. Ein riesiger Stehbereich im flachen Boddenwasser macht das Revier besonders sicher und attraktiv für Freerider und Aufsteiger.;Beste Windrichtungen sind Südwest, Süd und Südost. Bei Nordwind ist der Spot komplett ablandig und durch die Abdeckung der Insel unbrauchbar.;Der Einstieg kann je nach Wasserstand etwas schlammig sein. Im Wasser befinden sich vereinzelt größere Steine (Findlinge), die man im Auge behalten sollte. Keine direkte touristische Infrastruktur vor Ort.
37;ruegen-dranske;Rügen - Dranske;54.6314;13.2219;Kitespot Dranske Rügen: ICON-D2 Windvorhersage;Hochaufgelöste ICON-D2 Windvorhersage für Dranske auf Rügen. Der Starkwind-Spot am Bug mit großem Stehbereich.;Kitesurfen in Dranske (Rügen);Dranske liegt auf der Halbinsel Wittow im Norden Rügens direkt am Wieker Bodden. Durch die schmale Landzunge zum Bug hin weht der Wind hier extrem frei und konstant. Der Spot bietet einen sehr großen Stehbereich mit Flachwasser, wird aber bei Starkwind angenehm kabbelig für ordentliche Sprünge.;Funktioniert perfekt bei Wind aus Südwest, West und Nordwest. Südwind kommt ebenfalls frei durch.;Der Einstieg ist stellenweise schmal und steinig. Achte auf die angrenzenden Schilf- und Naturschutzgürtel des Nationalparks, die nicht betreten oder befahren werden dürfen.
38;ruegen-klein-zicker;Rügen - Klein Zicker;54.2711;13.6936;Kitespot Klein Zicker Rügen: ICON-D2 Wind;ICON-D2 Wind- und Wetterdaten für Klein Zicker auf Rügen. Das geschützte Flachwasserbecken bei Südwind.;Kitesurfen in Klein Zicker (Rügen);Klein Zicker ist eine kleine Halbinsel im Südosten von Rügen. Der Spot liegt in einer geschützten Bucht des Rügischen Boddens und bietet erstklassiges Flachwasser mit einem weiten Stehbereich. Aufgrund der geschützten Lage ist das Wasser hier extrem glatt – perfekt für Oldschool-Tricks und Freestyler.;Optimal bei Wind aus Süd, Südwest und West. Bei Nordwind ist der Spot stark abgeschattet.;Der Strand- und Aufbauplatz ist relativ klein und kann an guten Tagen eng werden. Achte auf die Reusen der Fischer in der Bucht und halte dich strikt an die Grenzen zum Naturschutzgebiet Mönchgut.
39;pelzerhaken-luebecker-bucht;Pelzerhaken - Lübecker Bucht;54.0911;10.8753;Kitespot Pelzerhaken: ICON-D2 Windvorhersage & Guide;Aktuelle ICON-D2 Windvorhersage für Pelzerhaken in der Lübecker Bucht. Das Top-Revier an der schleswig-holsteinischen Ostseeküste.;Kitesurfen in Pelzerhaken (Lübecker Bucht);Pelzerhaken ist das Kitesurf-Mekka der schleswig-holsteinischen Ostseeküste. Durch den Knick in der Küstenlinie ist dies der einzige Spot der Region, an dem man bei Südwestwind side-onshore kiten kann. Ein großer, vorgelagerter Stehbereich mit Sandbänken macht den Spot für alle Könnensstufen attraktiv.;Hervorragend bei Wind aus Südwest, Süd und Südost. Ostwind bringt eine schöne Brandungswelle mit sich.;Im Stehbereich liegen einige tückische Steine und Muschelfelder (Schuhe für Anfänger empfohlen). Im Sommer herrscht extrem dichter Bade- und Schulungsbetrieb, die Zonenregeln müssen zwingend beachtet werden (kostenpflichtiges Parken).
40;heiligenhafen-graswarder;Heiligenhafen - Graswarder;54.3828;11.0022;Kitespot Heiligenhafen Graswarder: ICON-D2 Wind;ICON-D2 Windreport für Heiligenhafen (Graswarder). Das abwechslungsreiche Revier zwischen Binnensee und Ostsee.;Kitesurfen am Graswarder (Heiligenhafen);Heiligenhafen bietet am Graswarder ein extrem vielseitiges Revier. Kiter können je nach Windrichtung und Vorliebe auf der offenen Ostsee in die Welle gehen oder im geschützten, flachen Bereich hinter der Halbinsel Freeriden. Der Wind weht hier oft sehr konstant direkt von der Ostsee herein.;Beste Windrichtungen sind Nordwest, Nord und Nordost. Westwind funktioniert auf der Ostsee-Seite ebenfalls gut.;Der östliche Teil des Graswarders ist ein streng geschütztes Vogelreservat – das Betreten und Befahren ist absolut verboten! Achte beim Kiten auf der Ostsee-Seite auf die Strömung nahe der Hafeneinfahrt.
41;laboe-kieler-foerde;Laboe - Kieler Förde;54.4183;10.2222;Kitespot Laboe Kieler Förde: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Laboe an der Kieler Förde. Alle Infos zu Stehbereich, Windrichtungen und Regeln.;Kitesurfen in Laboe (Kieler Förde);Laboe ist der Top-Spot direkt an der Kieler Förde. Ein großer, stehtiefer Sandbereich macht das Revier besonders bei Anfängern und Freestylern beliebt. Der Wind weht hier meist sehr konstant, und man kitet mit Blick auf die vorbeiziehenden Kreuzfahrt- und Containerschiffe.;Optimal bei Wind aus West, Nordwest und Nord (side-onshore bis onshore). Bei Südwestwind ebenfalls gut fahrbar.;Achte unbedingt auf die strikte Zonenregelung: Das Kiten ist nur in der ausgewiesenen Zone erlaubt. Das angrenzende Fahrwasser der Großschifffahrt ist absolut tabu, da dort lebensgefährliche Strömungen und Sogwirkungen herrschen.
42;heidkate-kieler-foerde;Heidkate - Kieler Förde;54.4367;10.3244;Kitespot Heidkate Kieler Förde: ICON-D2 Windreport;ICON-D2 Windreport für Heidkate an der Kieler Bucht. Abwechslungsreicher Ostsee-Spot mit Sandbänken und kleiner Welle.;Kitesurfen in Heidkate (Kieler Bucht);Heidkate liegt östlich der Kieler Förde an der offenen Ostsee. Der Spot bietet einen weitläufigen Sandstrand und mehrere vorgelagerte Sandbänke. Bei moderatem Wind ist es ein tolles Freeride-Revier, bei Starkwind baut sich weiter draußen eine ordentliche Brandungswelle für Sprünge auf.;Perfekt bei Wind aus Nordwest, Nord und Nordost. Westwind kommt sideshore, ist aber oft etwas kabbeliger.;Im Einstiegsbereich und zwischen den Sandbänken befinden sich einige Steinbuhnen, die je nach Wasserstand kaum zu sehen sind. Im Sommer herrscht reger Badebetrieb entlang der Campingplätze.
43;pepelow-salzhaff;Pepelow - Salzhaff;54.0156;11.5892;Kitespot Pepelow Salzhaff: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für Pepelow am Salzhaff. Das perfekte, geschützte Stehrevier für Anfänger und Aufsteiger.;Kitesurfen in Pepelow (Salzhaff);Pepelow am Salzhaff ist eines der sichersten und beliebtesten Stehreviere an der mecklenburgischen Ostseeküste. Durch die schützende Halbinsel Wustrow ist der Spot komplett vom offenen Meer abgetrennt, wodurch das Wasser spiegelglatt bleibt. Der Stehbereich reicht hunderte Meter weit ins Haff.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Bei Ostwind ebenfalls fahrbar, dann aber flacheres Wasser direkt an der Kante.;Der Untergrund ist stellenweise schlickig und mit vereinzelten Muschelbänken durchsetzt – Neoprenschuhe sind ratsam. Aufgrund der perfekten Schulungsbedingungen kann es in den Ferienmonaten sehr voll werden.
44;saal-saaler-bodden;Saal - Saaler Bodden;54.3156;12.4836;Kitespot Saal Saaler Bodden: ICON-D2 Winddaten;Hochaufgelöste ICON-D2 Windvorhersage für den Kitespot Saal am Bodden. Das Flachwasser-Mekka für Freestyler.;Kitesurfen in Saal (Saaler Bodden);Der Spot in Saal am Saaler Bodden ist legendär für sein riesiges, stehtiefes Flachwasserrevier. Eine große Graswiese bietet optimalen Platz zum Aufbauen. Da der Bodden kaum Welle zulässt, finden Freestyler hier spiegelglatte Bedingungen für radikale Manöver vor.;Funktioniert perfekt bei Wind aus Südwest, West und Nordwest. Nordwind kommt ebenfalls frei durch.;Der Einstiegsbereich ist schmal und der Untergrund recht schlickig. Es gilt ein absolutes Befahrensverbot der großflächig ausgewiesenen Schilf- und Naturschutzgürtel entlang des Ufers.
45;neuendorf-saaler-bodden;Neuendorf - Saaler Bodden;54.3314;12.4419;Kitespot Neuendorf Saaler Bodden: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Neuendorf. Die ruhigere Flachwasser-Alternative am Saaler Bodden.;Kitesurfen in Neuendorf (Saaler Bodden);Neuendorf ist der Nachbarspot von Saal und bietet sehr ähnliche, erstklassige Flachwasserbedingungen. Der Spot ist meist deutlich weniger frequentiert als Saal. Ein weitläufiger Stehbereich und eine gemütliche Aufbauwiese machen das Kiten hier extrem entspannt.;Optimal bei Wind aus West, Nordwest und Nord. Bei Südwestwind ebenfalls gut nutzbar.;Auch hier gilt: Der Spot ist von sensiblen Schilfzonen umgeben. Die Naturschutzgrenzen des Nationalparks Vorpommersche Boddenlandschaft sind zwingend zu respektieren. Keine sanitäre Infrastruktur direkt am Einstieg.
46;warnemuende-hohe-duene;Warnemünde - Hohe Düne;54.1831;12.1022;Kitespot Warnemünde Hohe Düne: ICON-D2 Wind & Welle;ICON-D2 Windvorhersage für Warnemünde (Hohe Düne). Der anspruchsvolle Ostsee-Wellenspot an der Molenkante.;Kitesurfen in Warnemünde (Hohe Düne);Hohe Düne liegt östlich der Warnow-Mündung in Warnemünde. Es ist ein klassischer, offener Ostsee-Spot, der bei Starkwind eine beachtliche Brandungswelle aufbaut. Der breite Sandstrand bietet viel Platz zum Aufbauen, das Revier erfordert jedoch eine gute Boardkontrolle.;Beste Windrichtungen sind Nordwest, Nord und Nordost. Westwind weht sideshore, wird aber an der Molenkante leicht verwirbelt.;Kein Stehrevier vorhanden. Die Strömung in der Nähe der Hafeneinfahrt ist stark. Das Kiten im Fahrwasser der großen Skandinavien-Fähren und Kreuzfahrtschiffe ist strengstens verboten.
47;kuehlungsborn-oststrand;Kühlungsborn - Oststrand;54.1539;11.7714;Kitespot Kühlungsborn Oststrand: ICON-D2 Wind;Aktueller ICON-D2 Windreport für Kühlungsborn. Offener Ostseespot mit schöner Welle und touristischer Infrastruktur.;Kitesurfen in Kühlungsborn (Oststrand);Der Oststrand in Kühlungsborn ist ein schöner Sandstrand, der Kiter vor allem im Frühjahr und Herbst anlockt. Bei starkem Nordwest- oder Nordwind baut sich hier ein anspruchsvolles Chop- und Wellenrevier auf. Der Einstieg geht schnell ins tiefe Wasser über.;Optimal bei Wind aus Nordwest, Nord und Nordost. West- und Ostwind wehen genau parallel zur Küste (sideshore).;Der gesamte Strand ist in regelmäßigen Abständen mit Holzbuhnen versehen, die im Wasser eine erhebliche Verletzungsgefahr darstellen. Im Sommer herrscht extrem dichter Badebetrieb (Kiteverbot in den Badezonen).
48;zingst-sportstrand;Zingst - Sportstrand;54.4447;12.6953;Kitespot Zingst Sportstrand: ICON-D2 Windvorhersage;ICON-D2 Wind- und Wetterdaten für den Sportstrand in Zingst (Darß). Wellenkiten auf der Ostsee mit feinstem Sandstrand.;Kitesurfen am Sportstrand in Zingst;Der Sportstrand (Strandaufgang 14) in Zingst auf der Halbinsel Fischland-Darß-Zingst bietet Kiter-Infrastruktur direkt an der offenen Ostsee. Der feine Sandstrand geht flach ins Wasser über, bevor nach einigen Metern die Strömung und tiefere Rinnen einsetzen. Bei Wind entstehen schöne, kabbelige Sprungwellen.;Perfekt bei Wind aus Nordwest, Nord und Nordost. Westwind funktioniert sideshore ebenfalls gut.;Achte auf die Seebrücke in Zingst, zu der reichlich Sicherheitsabstand eingehalten werden muss. Im Sommer ist der Strand stark von Urlaubern frequentiert – das Starten und Landen ist nur in der Sportzone erlaubt.
49;ahrenshoop-wellenspot;Ahrenshoop - Wellenspot;54.3806;12.4183;Kitespot Ahrenshoop: ICON-D2 Wind & Brandungswelle;Präzise ICON-D2 Windvorhersage für den Wellenspot Ahrenshoop. Anspruchsvolles Revier an der Westküste des Darß.;Kitesurfen in Ahrenshoop (Fischland-Darß);Ahrenshoop ist bekannt für seine raue Natur und die Steilküste. Für Kitesurfer ist es ein anspruchsvoller Wellenspot an der Westseite der Halbinsel. Bei West- und Nordweststurm rollt hier eine kräftige Brandung herein, die saubere Wellenrampen für fortgeschrittene Wave-Kiter bietet.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Nordnordwest steht genau auflandig (onshore).;Kein Stehrevier und ein steiniger Untergrund an vielen Stellen der Küstenlinie. Die Buhnenreihen im Wasser erfordern präzises Fahrkönnen. Absolut ungeeignet für Anfänger und Einsteiger.
50;lubmin-greifswalder-bodden;Lubmin - Greifswalder Bodden;54.1378;13.6194;Kitespot Lubmin Greifswalder Bodden: ICON-D2 Wind;Hochaufgelöste ICON-D2 Windvorhersage für Lubmin. Das vielseitige Flachwasser- und Freeriderevier im Osten.;Kitesurfen in Lubmin (Greifswalder Bodden);Lubmin liegt am Südufer des Greifswalder Boddens und bietet einen kilometerlangen, breiten Sandstrand. Ein weitläufiger Stehbereich macht den Spot extrem sicher und komfortabel für Einsteiger. Weiter draußen herrscht feinstes Freeridewasser mit leichtem Chop bei Starkwind.;Optimal bei Wind aus Nordwest, Nord, Nordost und Ost. Bei diesen Richtungen kommt der Wind völlig frei über den Bodden.;Achte auf die Seebrücke von Lubmin und die Dalben im Wasser. Im Sommer ist der Hauptstrand gut besucht, weshalb der Aufbauplatz an die östlichen oder westlichen Ränder des Sportstrands verlagert werden sollte.
51;loissin-greifswalder-bodden;Loissin - Greifswalder Bodden;54.1206;13.5358;Kitespot Loissin Greifswalder Bodden: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Loissin. Riesiges Flachwasser- und Stehrevier am Greifswalder Bodden.;Kitesurfen in Loissin (Greifswalder Bodden);Loissin ist einer der beliebtesten Kitespots im Nordosten Deutschlands. Ein riesiger Stehbereich, der sich mehrere hundert Meter weit in den Greifswalder Bodden erstreckt, bietet spiegelglattes Flachwasser. Perfekt für Anfänger, Kursisten und Freestyler, die neue Tricks trainieren wollen.;Optimal bei Wind aus Nordwest, Nord, Nordost und Ost. Bei diesen Richtungen weht der Wind absolut frei und konstant über den Bodden.;Im Einstiegsbereich gibt es eine schmale Rasenfläche am lokalen Campingplatz, die an windigen Wochenenden schnell voll wird. Achte im flachen Wasser auf vereinzelte größere Steine und Muschelfelder.
52;usedom-karlshagen;Usedom - Karlshagen;54.1167;13.8442;Kitespot Karlshagen Usedom: ICON-D2 Wind & Wellen-Guide;ICON-D2 Windreport für Karlshagen im Norden Usedoms. Breiter Sandstrand und offenes Ostsee-Revier.;Kitesurfen in Karlshagen (Usedom);Karlshagen bietet einen traumhaften, feinen und extrem breiten Sandstrand an der offenen Ostsee. Der Spot verfügt über einen moderaten Stehbereich im Uferbereich. Bei Starkwind baut sich weiter draußen eine ordentliche Brandungswelle für spektakuläre Sprünge auf.;Hervorragend bei Wind aus Nordwest, Nord und Nordost (onshore bis side-onshore). West- und Ostwind wehen genau sideshore parallel zur Küste.;Im Sommer herrscht reger Badebetrieb – der ausgewiesene Sportstrand ist zwingend zu nutzen. Achte auf die Buhnenreihen im Wasser, die bei hohem Wasserstand teilweise überspült und schwer zu sehen sind.
53;usedom-ueckeritz;Usedom - Ueckeritz;54.0211;14.0106;Kitespot Ueckeritz Usedom: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für Ückeritz auf Usedom. Anspruchsvoller Wellenspot an der Steilküste.;Kitesurfen in Ückeritz (Usedom);Ückeritz liegt an einer schmalen Stelle Usedoms und bietet ein echtes Naturrevier an der offenen Ostsee. Der Spot ist geprägt von einer malerischen Steilküste und Naturstränden. Es gibt kaum ein Stehrevier, dafür läuft bei starkem Wind eine anspruchsvolle, kraftvolle Welle ein.;Beste Windrichtungen sind Nordost, Ost und Südost. Nordwest- und Nordwind funktionieren ebenfalls, bringen aber chaotischen Kabbelwind.;Absolut kein Anfängerspot. Der Einstieg kann steinig sein, und der schmale Strand bietet bei Hochwasser kaum Platz zum sicheren Starten und Landen der Kites. Nur für erfahrene Kiter empfohlen.
54;meschendorf-ostsee;Meschendorf - Ostsee;54.1628;11.6686;Kitespot Meschendorf Ostsee: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Meschendorf nahe Rerik. Abwechslungsreicher Ostsee-Geheimtipp mit Welle.;Kitesurfen in Meschendorf (Ostsee);Meschendorf liegt direkt neben Rerik an der offenen Ostsee. Der Naturstrand bietet viel Ruhe abseits der großen Tourismuszentren. Bei westlichen oder nördlichen Winden baut sich auf der Ostsee ein schönes Freeride- und Wellenrevier mit mäßiger Strömung auf.;Optimal bei Wind aus West-Nordwest, Nordwest, Nord und Nordost. Bei Westwind weht es sideshore.;Der Untergrund im Wasser ist sehr steinig und mit Buhnen durchsetzt – Neoprenschuhe sind hier Pflicht. Der Strandbereich ist relativ schmal, weshalb beim Starten und Landen höchste Vorsicht geboten ist.
55;eckernfoerde-suedstrand;Eckernfoerde - Suedstrand;54.4597;9.8458;Kitespot Eckernförde Südstrand: ICON-D2 Winddaten;Hochaufgelöste ICON-D2 Windvorhersage für den Südstrand in Eckernförde. Schönes Freeriderevier in der Bucht.;Kitesurfen in Eckernförde (Südstrand);Der Südstrand in Eckernförde bietet feinen Sandstrand und klares Ostseewasser. Die geschützte Lage in der Eckernförder Bucht verhindert extreme Brandungswellen, sorgt bei Starkwind aber für feinstes Kabbelwasser (Chop), das ideal zum Freeriden und für Big-Air-Sprünge ist.;Perfekt bei Wind aus Ost, Nordost und Südost. Bei diesen Richtungen kommt der Wind völlig frei über die offene Ostsee in die Bucht.;Bei Westwind ist der Spot komplett ablandig und durch die Stadt und Hügel extrem böig und gefährlich. Im Sommer ist der Strand ein extrem beliebter Badestrand – Badezonen strikt meiden!
56;brouwersdam-zeeland;Brouwersdam - Zeeland;51.7589;3.8436;Kitespot Brouwersdam Zeeland: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für den Brouwersdam in Holland. Das absolute Kitesurf-Mekka Europas.;Kitesurfen am Brouwersdam (Zeeland / Niederlande);Der Brouwersdam ist wohl der bekannteste und am besten ausgestattete Kitespot Europas. Ein kilometerlanger, gigantischer Sandstrand an der Nordsee bietet unendlich viel Platz. Auf der Meerseite wartet ein geniales Wellen- und Freeriderevier, während bei Ebbe in den Prielen riesige Flachwasserflächen entstehen.;Funktioniert bei fast allen Windrichtungen von Süd über West bis Nord. Absolut frei und konstant.;Aufgrund der enormen Beliebtheit kann es im Sommer extrem voll auf dem Wasser werden. Achte auf die Gezeiten (starke Strömung bei Tidenwechsel) und die ausgewiesenen Zonen für Kiteschulen. Das Parken ist direkt am Strand möglich.
57;vrouwenpolder-zeeland;Vrouwenpolder - Zeeland;51.5847;3.6133;Kitespot Vrouwenpolder: ICON-D2 Windreport;ICON-D2 Wind- und Wetterdaten für Vrouwenpolder. Riesige Flachwasser-Lagune bei Flut an der Nordseeküste.;Kitesurfen in Vrouwenpolder (Niederlande);Vrouwenpolder liegt an der Nordsee-Einfahrt der Oosterschelde und ist berühmt für sein abwechslungsreiches Revier. Bei Flut füllt sich hinter einer gigantischen Sandbank ein riesiges Flachwasser-Becken, das spiegelglatt bleibt – ein Traum für Freestyler und Anfänger. Draußen auf der Nordsee läuft zeitgleich eine schöne Welle.;Optimal bei Wind aus Nordwest, Nord und Nordost. Westwind funktioniert ebenfalls gut.;Der Spot ist stark von den Gezeiten geprägt – bei Ebbe fällt die innere Lagune komplett trocken. Die Strömungen auf der offenen Nordsee-Seite können bei einsetzender Ebbe extrem stark werden.
58;neeltje-jans-zeeland;Neeltje Jans - Zeeland;51.6267;3.6908;Kitespot Neeltje Jans: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Neeltje Jans auf dem Sturmflutwehr. Wellen- und Starkwindspot in Zeeland.;Kitesurfen am Spot Neeltje Jans (Niederlande);Neeltje Jans liegt mitten auf dem gewaltigen Oosterschelde-Sturmflutwehr. Der Spot an der Nordsee-Seite bietet eine hufeisenförmige Bucht, die Schutz vor heftigen Strömungen bietet. Bei starkem Wind rollt eine saubere, sortierte Welle in die Bucht. Der Strand bietet viel Platz.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Der Wind kommt hier völlig ungehindert vom Atlantik und der Nordsee an.;Achte penibel darauf, nicht zu nah an die massiven Pfeiler und Schleusentore des Sturmflutwehrs zu geraten, da dort lebensgefährliche Verwirbelungen und Strömungen herrschen. Nur für sichere Kiter.
59;mirns-ijsselmeer;Mirns - IJsselmeer;52.8464;5.3789;Kitespot Mirns IJsselmeer: ICON-D2 Windvorhersage;Hochaufgelöste ICON-D2 Windvorhersage für Mirns am IJsselmeer. Das größte Flachwasser-Stehrevier Hollands.;Kitesurfen in Mirns (IJsselmeer / Niederlande);Mirns ist der beliebteste Anfänger- und Schulungsspot am niederländischen IJsselmeer. Ein gigantischer Stehbereich mit stehtiefem Süßwasser erstreckt sich hunderte Meter weit in den See. Da es hier keine Gezeiten gibt, herrschen für Einsteiger und Freestyler absolut konstante Flachwasser-Bedingungen.;Perfekt bei Wind aus Süd, Südwest und West. Bei diesen Richtungen weht der Wind voll auflandig (onshore) bis side-onshore auf die große Kitewiese.;Da der Spot sehr flach ist, ist er für Foiler ungeeignet. An windigen Wochenenden herrscht ein extrem hohes Verkehrsaufkommen an Kiteschulen und Anfängern – Rücksichtnahme im Stehbereich ist oberstes Gebot.
60;workum-ijsselmeer;Workum - IJsselmeer;52.9811;5.4132;Kitespot Workum IJsselmeer: ICON-D2 Wind;Aktueller ICON-D2 Windreport für Workum. Legendärer IJsselmeer-Kitespot mit Sandstrand und riesigem Stehbereich.;Kitesurfen in Workum (IJsselmeer / Niederlande);Workum ist neben Mirns das absolute Highlight am IJsselmeer. Im Gegensatz zu vielen anderen Spots der Region bietet Workum einen echten, feinen Sandstrand zum Starten und Landen. Ein riesiger, stehtiefer Bereich macht das Kiten extrem sicher. Das Wasser ist leicht kabbelig, lädt aber zum Cruisen und Tricksen ein.;Optimal bei Wind aus Südwest, West und Nordwest. Der Wind kommt völlig frei über das IJsselmeer und ist sehr konstant.;Außerhalb des markierten Stehreviers wird das Wasser schnell tief und es baut sich ein kurzer, harter Chop auf. Halte Abstand zu den angrenzenden Naturschutzgebieten entlang des Ufers.
61;hindeloopen-ijsselmeer;Hindeloopen - IJsselmeer;52.9469;5.3944;Kitespot Hindeloopen IJsselmeer: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Hindeloopen. Schönes Flachwasserrevier mit Stehbereich am IJsselmeer.;Kitesurfen in Hindeloopen (IJsselmeer / Niederlande);Hindeloopen ist ein malerischer Spot am östlichen IJsselmeer. Kiter erwartet hier ein weitläufiges Stehrevier mit feinem Flachwasser hinter einer vorgelagerten Sandbank. Weiter draußen bildet sich bei Starkwind ein mäßiger Chop, der ideal für Sprünge und Freeride-Sessions ist.;Optimal bei Wind aus Südwest, West und Nordwest. Der Wind kommt sauber und ungestört über das offene Wasser.;Der Einstieg erfolgt über eine Rasenfläche am Deich (teilweise Schafe). Im flachen Wasser befinden sich stellenweise größere Steine nahe der Uferkante – beim Starten und Landen ist Vorsicht geboten.
62;enkhuizen-ijsselmeer;Enkhuizen - IJsselmeer;52.6956;5.3122;Kitespot Enkhuizen IJsselmeer: ICON-D2 Windreport;ICON-D2 Windreport für Enkhuizen am westlichen IJsselmeer. Infos zu Stehbereich, Windrichtungen und Einstieg.;Kitesurfen in Enkhuizen (IJsselmeer / Niederlande);Enkhuizen liegt auf der westlichen Seite des IJsselmeers, direkt am Übergang zum Markermeer (am Houtribdijk). Der Spot "Enkhuizer Zand" bietet eine kleine Sandbucht und einen moderaten Stehbereich. Bei östlichen Winden baut sich hier ein schönes Freeride- und Sprungrevier auf.;Perfekt bei Wind aus Nordost, Ost und Südost. Bei diesen Richtungen weht der Wind völlig frei onshore auf den Strand.;Bei Westwind ist der Spot komplett ablandig und durch die Abdeckung der Stadt und Bäume extrem böig und gefährlich. Achte auf den Schiffsverkehr nahe der Hafenanlagen.
